,Unnamed: 0,coder,date,newsnm,rptmm,rptdd,rptyy,evmm,evdd,evyy,days,eventid,stories,title,followup,who,what,where,against,purpose,whysm,page,section,paragrph,staten,state1,state2,state3,state4,cityn,city1,city2,neighn,neighbr,particd,particex,partices,groups,igrp1c1,igrp1c2,igrp2c1,igrp2c2,igrp3c1,igrp3c2,targd,targnum,targ1,targ2,ertarg1,ertarg2,smonamed,smonum,smoname1,smoname2,smoname3,smoname4,claim1,val1,claim2,val2,claim3,val3,claim4,val4,form1,form2,form3,form4,act1,act2,act3,act4,viold,violtype,counterd,police1,police2,police3,police4,arrestd,arrestex,arrestes,propdam,dollars,injury,deaths,d_eventid,flag_followup,injprot,injprot_est,injby,injby_est,injpol,injpol_est,injoth,injoth_est,dthprot,dthprot_est,dthby,dthby_est,dthpol,dthpol_est,dthoth,dthoth_est,agenda_code,matchtext,textfile
16,19138,BELINDA SICHULA,15502,NYT,1,22,1987,1,21,1987,1,8701020,2,RACIAL VIOLENCE FOCUS OF BLACKS IN DAY OF PROTEST,0,BLACKS,BOYCOTT OF WHITE OWNED STORES,"BROOKLYN, QUEENS, MANHATTAN, NYC, NY",WHITE STORE OWNERS,PROTESTING VIOLENCE AGAINST BLACKS BY WHITES,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,41,1,NY,,,,1,NEW YORK,,3,BROOKLYN,0,-999,5,1,401,1800,-999,-999,-999,-999,1,2,2,7,430,-999,0,-999,,,,,2504,2,2502,2,-999,-999,-999,-999,14,-999,-999,-999,54,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,racial violence focus of blacks in day of protest,1987/01/22/0006029.xml
17,19139,BELINDA SICHULA,15502,NYT,1,22,1987,1,21,1987,1,8701021,1,RACIAL VIOLENCE FOCUS OF BLACKS IN DAY OF PROTEST,0,BLACKS,MARCH,"FROM HAROLD SQUARE TO GREENWICH VILLAGE, MANHATTAN, NYC, NY",WHITES,VIOLENCE BY WHITES AGAINST BLACKS,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,22,1,NY,,,,1,NEW YORK,,1,MANHATTAN,1,3000,-999,1,401,1800,-999,-999,-999,-999,1,1,7,-999,430,-999,0,-999,,,,,2504,2,2502,2,-999,-999,-999,-999,2,-999,-999,-999,22,28,20,27,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,racial violence focus of blacks in day of protest,1987/01/22/0006029.xml
20,19142,BELINDA SICHULA,15502,NYT,1,23,1987,1,22,1987,1,8701024,1,RALLY AGAINST ABORTION HEARS PLEDGE OF SUPPORT BY REAGAN,0,ANTI-ABORTIONISTS,LOBBYING AND DELIVERING RED ROSES TO CONGRESSMEN,"WASHINGTON, DC",GOVERNMENT AND ABORTION,"ANTI-ABORTION, 14TH ANNIVERSARY OF ROE V WADE","COLLECTIVE, CLAIMS MADE, PUBLIC",10,A,9,1,DC,,,,1,WASHINGTON,,-999,,0,-999,4,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,2400,2,-999,-999,-999,-999,-999,-999,9,10,-999,-999,40,33,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,208,rally against abortion hears pledge of support by reagan,1987/01/23/0006309.xml
21,19143,BELINDA SICHULA,15502,NYT,1,23,1987,1,22,1987,1,8701025,1,RALLY AGAINST ABORTION HEARS PLEDGE OF SUPPORT BY REAGAN,0,ANTI-ABORTIONISTS,MARCH,"FROM ELLIPSE TO CAPITOL AND SUPREME COURT, WASHINGTON, DC",GOVERNMENT AND ABORTION,"ANTI-ABORTION, 14TH ANNIVERSARY OF ROE V WADE","COLLECTIVE, CLAIMS MADE, PUBLIC",10,A,9,1,DC,,,,1,WASHINGTON,,-999,,1,5000,-999,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,2400,2,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,22,20,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,208,rally against abortion hears pledge of support by reagan,1987/01/23/0006309.xml
22,19144,BELINDA SICHULA,15502,NYT,1,23,1987,1,22,1987,1,8701026,1,RALLY AGAINST ABORTION HEARS PLEDGE OF SUPPORT BY REAGAN,0,PRO-CHOICE,NEWS CONFERENCE,"WASHINGTON, DC",ANTI-ABORTION,"PRO-CHOICE, 14TH ANNIVERSARY OF ROE V WADE","COLLECTIVE, CLAIMS MADE, PUBLIC",10,A,9,1,DC,,,,1,WASHINGTON,,-999,,0,-999,1,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,2,NATIONAL ORGANIZATION FOR WOMEN,NATIONAL ABORTION RIGHTS ACTION LEAGUE,,,2400,1,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,208,rally against abortion hears pledge of support by reagan,1987/01/23/0006309.xml
23,19131,BELINDA SICHULA,15502,NYT,1,25,1987,1,24,1987,1,8701013,2,THOUSANDS IN CIVIL RIGHTS MARCH JEERED BY CROWD IN GEORGIA TOWN,0,CIVIL RIGHTS SUPPORTS FOR DESEGREGATION,MARCH WITH KKK COUNTERDEMONSTRATORS,"CUMMING, GA, FORSYTH COUNTY","WHITE SUPREMACY, RACISM",PROTEST SEGREGATION IN FORSYTH COUNTY,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,A,46,1,GA,,,,1,CUMMING,,1,FORSYTH COUNTY,1,16000,-999,2,401,1800,430,1800,-999,-999,1,1,2,-999,-999,-999,1,1,NAACP,,,,1501,1,2502,2,2504,2,-999,-999,2,-999,-999,-999,22,20,28,-999,0,-999,1,1,1,1,1,0,55,-999,0,-999,0,0,D-8701013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,thousands in civil rights march jeered by crowd in georgia town,1987/01/25/0007074.xml
24,19145,BELINDA SICHULA,15502,NYT,1,28,1987,1,27,1987,1,8701027,1,ACTOR AND 71 OTHER PROTESTERS ARRESTED AT NUCLEAR TEST SITE,0,ANTI-NUCLEAR PROTESTERS,"DEMONSTRATION, BLOCKED CARS, JUMPED FENCE","NEVADA TEST SITE LAS VEGAS, NEV",GOVERNMENT,PROTEST NUCLEAR TESTING,"COLLECTIVE, CLAIMS MADE, PUBLIC",26,D,11,1,NV,,,,1,LAS VEGAS,,-999,,1,200,-999,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,703,1,-999,-999,-999,-999,-999,-999,5,10,-999,-999,57,45,33,-999,0,-999,0,1,1,0,0,0,72,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1605,actor and 71 other protesters arrested at nuclear test site,1987/01/28/0007836.xml
25,19132,BELINDA SICHULA,15502,NYT,1,31,1987,1,29,1987,1,8701014,1,DEMANDS ISSUED BY RIGHTS LEADER TO AN ALL-WHITE GEORGIA COUNTY,0,CIVIL RIGHTS LEADERS,NEWS CONFERENCE,"GRAVE OF DR. KING ATLANTA, GA",KKK,DENOUNCED COUNTERDEMONSTRATORS (KKK) OF CIVIL RIGHTS MARCH ON 1/17 AND 1/24,"COLLECTIVE, CLAIMS MADE, PUBLIC",10,A,13,1,GA,,,,1,ATLANTA,,-999,,0,-999,1,1,401,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2502,2,2504,2,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,demands issued by rights leader to an allwhite georgia county,1987/01/31/0008843.xml
26,19146,BELINDA SICHULA,15502,NYT,2,2,1987,1,31,1987,1,8702001,1,ANTIRACISM RALLIES SPREAD,0,KLAN,RALLY,SOUTHWEST JEFFERSON COUNTY KENTUCKY,MINORITIES,"PROTEST RALLY BY CIVIL RIGHTS ACTIVISTS, WHITE SUPREMACY","COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,11,1,KY,,,,1,JEFFERSON,,-999,,1,10,-999,1,430,-999,-999,-999,-999,-999,1,1,7,-999,401,-999,1,1,KU KLUX KLAN,,,,2502,1,2504,1,-999,-999,-999,-999,1,9,-999,-999,33,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,antiracism rallies spread,
29,19149,BELINDA SICHULA,15502,NYT,2,2,1987,1,31,1987,1,8702004,1,ANTIRACISM RALLIES SPREAD,0,CIVIL RIGHTS ACTIVISTS,MEMORIAL SERVICE,"THE CITADEL, CHARLESTON, SC",RACISM,HONOR BLACK HISTORY MONTH AND KINGS BIRTHDAY/ PROTEST HAZING OF BLACK CADET BY WHITE CAD,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,11,1,SC,,,,1,CHARLESTON,,1,THE CITADEL,1,200,-999,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,1,NAACP,,,,2505,2,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,27,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,antiracism rallies spread,
31,19151,BELINDA SICHULA,15502,NYT,2,2,1987,1,31,1987,1,8702006,1,ANTIRACISM RALLIES SPREAD,0,KLAN,"RALLY, WITH 350 COUNTERDEMONSTRATORS WHO CHANTED AND THREW SNOWBALLS A","EASTON, MD",GOVERNMENT,PROTESTING JAIL SENTENCES OF KLAN MEMBERS FOR CROSS BURNING,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,11,1,MD,,,,1,EASTON,,-999,,1,4,-999,1,430,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,KU KLUX KLAN,,,,2502,2,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,99,-999,-999,-999,0,-999,1,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,antiracism rallies spread,
32,19152,BELINDA SICHULA,15502,NYT,2,2,1987,2,1,1987,1,8702007,1,ANTIRACISM RALLIES SPREAD,0,"ANTI-BLACK, ANIT-EQUAL RIGHTS PROTESTERS",VANDALIZED HOME OF COORDINATOR OF OBSERVANCE OF KING RALLY,"HUTCHINSON, KA",CIVIL RIGHTS LEADER,PROTEST OBSERVANCE OF KING HOLIDAY,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,11,1,KS,,,,1,HUTCHINSON,,-999,,0,-999,1,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2502,2,-999,-999,-999,-999,-999,-999,11,-999,-999,-999,62,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,1,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,antiracism rallies spread,
33,19153,BELINDA SICHULA,15502,NYT,2,2,1987,1,31,1987,1,8702008,1,ANTIRACISM RALLIES SPREAD,0,CIVIL RIGHTS LEADERS,MARCH,"HUTCHINSON, KA",RACISTS/VANDALS WHO VANDALIZED HOME OF CIVIL RIGHTS LEADER,PROTEST VANDALISM AT HOME OF PERSON WHO PLANNED OBSERVANCE OF KING HOLIDAY,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,11,1,KS,,,,1,HUTCHINSON,,-999,,1,350,-999,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2504,2,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,22,42,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,antiracism rallies spread,
35,19155,BELINDA SICHULA,15504,NYT,2,2,1987,1,31,1987,1,8702010,1,ANTIRACISM RALLIES SPREAD,0,CIVIL RIGHTS ACTIVISTS,DEMONSTRATION,"COUNTY COURTHOUSE LOUSIVILLE, KY",KU KLUX KLAN/RACISM,PROTEST BURNING OF PICTURE OF KING BY KLAN A WEEK EARLIER,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,11,1,KY,,,,1,LOUISVILLE,,-999,,1,1000,-999,1,1800,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2504,2,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,20,19,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,antiracism rallies spread,
36,19156,BELINDA SICHULA,15504,NYT,2,2,1987,2,1,1987,1,8702011,1,QUIET WORKSHIP FOLLOWS WEEKS OF CLASHES IN ALL-WHITE TOWN,0,BLACKS,ATTENDED CHURCH SERVICES IN ALL-WHITE CHURCHES,"CUMMING, GA",PEOPLE OF FORSYTH COUNTY,PROTEST ANTI-BLACK RACISM,"COLLECTIVE, CLAIMS MADE, PUBLIC",14,1,13,1,GA,,,,1,CUMMING,,1,FORSYTH COUNTY,1,50,-999,1,401,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,1500,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,98,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,quiet workship follows weeks of clashes in allwhite town,1987/02/02/0009580.xml
37,19158,BELINDA SICHULA,15504,NYT,2,3,1987,2,2,1987,1,8702013,1,HISPANIC GROUPS CHARGE TRANSIT POLICE WITH COVERING UP A BEATING,0,HISPANIC COALITION,NEWS CONFERENCE,"NYC, NY",TRANSIT AUTHORITY POLICE,PROTEST ALLEGED POLICE BRUTALITY AGAINST 2 HISPANIC WOMEN,"COLLECTIVE, CLAIMS MADE, PUBLIC",4,2,11,1,NY,,,,1,NEW YORK,,-999,,0,-999,1,1,402,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,LATINO COALITION FOR RACIAL JUSTICE,,,,2006,1,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,hispanic groups charge transit police with covering up a beating,1987/02/03/0009859.xml
39,19160,BELINDA SICHULA,15504,NYT,2,5,1987,9,15,1986,1,8702015,2,2 LINKED TO ARYAN GROUPS PLEAD GUILTY IN PLOT,1,WHITE SUPREMACISTS,BOMBING,"COUER DALENE, IDAHO",LEADER OF OPPOSITION TO ARYAN NATION,WHITE SUPREMACY,"COLLECTIVE, CLAIMS MADE, PUBLIC",17,1,20,1,ID,,,,1,COUER D'ALENE,,-999,,0,-999,1,1,430,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,1,ARYAN NATION,,,,2502,2,-999,-999,-999,-999,-999,-999,11,-999,-999,-999,62,-999,-999,-999,1,1,0,1,1,0,0,-999,-999,-999,1,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,2 linked to aryan groups plead guilty in plot,1987/02/05/0010481.xml
40,19162,BELINDA SICHULA,15504,NYT,2,6,1987,2,5,1987,1,8702017,1,438 PROTESTERS ARE ARRESTED AT NEVADA NUCLEAR TEST SITE,0,SOCIAL MOVEMENT ACTORS,RALLY AND SOME PROTESTERS TRESSPASSED ONTO SITE AND WERE ARRESTED,"NEVADA TEST SITE, MERCURY, NV",GOVERNMENT,PROTEST NUCLEAR TESTING,"COLLECTIVE, CLAIMS MADE, PUBLIC",8,1,15,1,NV,,,,1,MERCURY,,-999,,1,2000,-999,1,1800,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,4,GREENPEACE,THE AMERICAN PEACE TEST,PHYSICIANS FOR SOCIAL RESPONSIBILITY,P,703,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,20,27,48,-999,0,-999,0,1,1,0,0,0,438,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1605,438 protesters are arrested at nevada nuclear test site,1987/02/06/0010818.xml
